SrNo,TrackID,TrackName,AlbumName,Artist,ReleaseDate,Popularity,Length,Genre,Month,Year
93,0gPQTLaqHDgdupKEok7J2x,7 Days,Born to Do It,Craig David,14-08-2000,72,235133,british soul,8,2000
94,0gPQTLaqHDgdupKEok7J2x,7 Days,Born to Do It,Craig David,14-08-2000,72,235133,talent show,8,2000
95,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,27-07-1999,72,230200,dance pop,7,1999
96,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,27-07-1999,72,230200,girl group,7,1999
97,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,27-07-1999,72,230200,pop,7,1999
98,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,27-07-1999,72,230200,r&b,7,1999
99,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,27-07-1999,72,230200,urban contemporary,7,1999
100,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,"Before the Storm, Special Edition",Darude,01-01-2001,72,225493,eurodance,1,2001
101,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,"Before the Storm, Special Edition",Darude,01-01-2001,72,225493,finnish edm,1,2001
103,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,JAY-Z,28-12-1999,72,283066,east coast hip hop,12,1999
104,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,JAY-Z,28-12-1999,72,283066,gangster rap,12,1999
105,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,JAY-Z,28-12-1999,72,283066,hip hop,12,1999
106,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,JAY-Z,28-12-1999,72,283066,pop rap,12,1999
107,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,JAY-Z,28-12-1999,72,283066,rap,12,1999
108,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,UGK,28-12-1999,72,283066,dirty south rap,12,1999
109,5OQGeJ1ceykovrykZsGhqL,Breathless,In Blue,The Corrs,17-07-2000,72,207506,celtic rock,7,2000
110,5OQGeJ1ceykovrykZsGhqL,Breathless,In Blue,The Corrs,17-07-2000,72,207506,europop,7,2000
111,5OQGeJ1ceykovrykZsGhqL,Breathless,In Blue,The Corrs,17-07-2000,72,207506,pop rock,7,2000
112,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,No Strings Attached,*NSYNC,21-03-2000,72,192426,boy band,3,2000
113,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,No Strings Attached,*NSYNC,21-03-2000,72,192426,dance pop,3,2000
114,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,No Strings Attached,*NSYNC,21-03-2000,72,192426,pop,3,2000
115,3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,Millennium,Backstreet Boys,18-05-1999,72,234960,boy band,5,1999
116,3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,Millennium,Backstreet Boys,18-05-1999,72,234960,dance pop,5,1999
117,3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,Millennium,Backstreet Boys,18-05-1999,72,234960,pop,5,1999
118,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,Nelly,27-06-2000,71,287000,dance pop,6,2000
119,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,Nelly,27-06-2000,71,287000,gangster rap,6,2000
120,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,Nelly,27-06-2000,71,287000,hip hop,6,2000
121,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,Nelly,27-06-2000,71,287000,pop rap,6,2000
122,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,Nelly,27-06-2000,71,287000,rap,6,2000
123,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,Nelly,27-06-2000,71,287000,st louis rap,6,2000
124,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,Nelly,27-06-2000,71,287000,urban contemporary,6,2000
125,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,I Need You,LeAnn Rimes,30-01-2001,71,215506,contemporary country,1,2001
126,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,I Need You,LeAnn Rimes,30-01-2001,71,215506,country,1,2001
127,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,I Need You,LeAnn Rimes,30-01-2001,71,215506,country dawn,1,2001
128,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,I Need You,LeAnn Rimes,30-01-2001,71,215506,country road,1,2001
132,2TTYIwTM2iLC1YOyHuhRMt,Lucky,Oops!... I Did It Again,Britney Spears,16-05-2000,71,206226,dance pop,5,2000
133,2TTYIwTM2iLC1YOyHuhRMt,Lucky,Oops!... I Did It Again,Britney Spears,16-05-2000,71,206226,pop,5,2000
134,6Wnlq1Pu3I0BajLvxn05Vr,Try Again,Aaliyah,Aaliyah,07-07-2001,70,284640,contemporary r&b,7,2001
135,6Wnlq1Pu3I0BajLvxn05Vr,Try Again,Aaliyah,Aaliyah,07-07-2001,70,284640,dance pop,7,2001
136,6Wnlq1Pu3I0BajLvxn05Vr,Try Again,Aaliyah,Aaliyah,07-07-2001,70,284640,hip pop,7,2001
137,6Wnlq1Pu3I0BajLvxn05Vr,Try Again,Aaliyah,Aaliyah,07-07-2001,70,284640,r&b,7,2001
138,6Wnlq1Pu3I0BajLvxn05Vr,Try Again,Aaliyah,Aaliyah,07-07-2001,70,284640,urban contemporary,7,2001
139,0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Human Clay,Creed,01-01-1999,70,274800,alternative metal,1,1999
140,0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Human Clay,Creed,01-01-1999,70,274800,nu metal,1,1999
141,0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Human Clay,Creed,01-01-1999,70,274800,post-grunge,1,1999
146,1m2xMsxbtxv21Brome189p,I Wanna Know,My Name Is Joe,Joe,18-04-2000,69,296693,contemporary r&b,4,2000
147,1m2xMsxbtxv21Brome189p,I Wanna Know,My Name Is Joe,Joe,18-04-2000,69,296693,r&b,4,2000
148,1m2xMsxbtxv21Brome189p,I Wanna Know,My Name Is Joe,Joe,18-04-2000,69,296693,urban contemporary,4,2000
149,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,No Strings Attached,*NSYNC,21-03-2000,69,284760,boy band,3,2000
150,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,No Strings Attached,*NSYNC,21-03-2000,69,284760,dance pop,3,2000
151,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,No Strings Attached,*NSYNC,21-03-2000,69,284760,pop,3,2000
158,1VuBmEauSZywQVtqbxNqka,Beautiful Day,All That You Can't Leave Behind,U2,01-01-2000,68,246400,irish rock,1,2000
159,1VuBmEauSZywQVtqbxNqka,Beautiful Day,All That You Can't Leave Behind,U2,01-01-2000,68,246400,permanent wave,1,2000
160,1VuBmEauSZywQVtqbxNqka,Beautiful Day,All That You Can't Leave Behind,U2,01-01-2000,68,246400,rock,1,2000
161,3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,Nine Days,16-05-2000,68,189333,pop rock,5,2000
162,5PMKzsUsTpZZGsCcJBuhP2,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Where I Wanna Be,Donell Jones,29-05-1999,67,243733,contemporary r&b,5,1999
163,5PMKzsUsTpZZGsCcJBuhP2,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Where I Wanna Be,Donell Jones,29-05-1999,67,243733,r&b,5,1999
164,5PMKzsUsTpZZGsCcJBuhP2,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Where I Wanna Be,Donell Jones,29-05-1999,67,243733,urban contemporary,5,1999
167,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",Survivor,Destiny's Child,01-05-2001,67,221133,dance pop,5,2001
168,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",Survivor,Destiny's Child,01-05-2001,67,221133,girl group,5,2001
169,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",Survivor,Destiny's Child,01-05-2001,67,221133,pop,5,2001
170,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",Survivor,Destiny's Child,01-05-2001,67,221133,r&b,5,2001
171,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",Survivor,Destiny's Child,01-05-2001,67,221133,urban contemporary,5,2001
172,5Aa33rAPkp7f7l1aVqsHO8,Fool Again,Westlife,Westlife,01-11-1999,66,234866,boy band,11,1999
173,3w8Mw9GHYepoTWOSdiyosj,Incomplete,Unleash The Dragon,Sisqo,30-11-1999,66,274226,contemporary r&b,11,1999
174,3w8Mw9GHYepoTWOSdiyosj,Incomplete,Unleash The Dragon,Sisqo,30-11-1999,66,274226,dirty south rap,11,1999
175,3w8Mw9GHYepoTWOSdiyosj,Incomplete,Unleash The Dragon,Sisqo,30-11-1999,66,274226,hip pop,11,1999
176,3w8Mw9GHYepoTWOSdiyosj,Incomplete,Unleash The Dragon,Sisqo,30-11-1999,66,274226,r&b,11,1999
177,3w8Mw9GHYepoTWOSdiyosj,Incomplete,Unleash The Dragon,Sisqo,30-11-1999,66,274226,urban contemporary,11,1999
178,1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Blue,Third Eye Blind,23-11-1999,66,237240,alternative metal,11,1999
179,1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Blue,Third Eye Blind,23-11-1999,66,237240,alternative rock,11,1999
180,1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Blue,Third Eye Blind,23-11-1999,66,237240,pop rock,11,1999
181,1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Blue,Third Eye Blind,23-11-1999,66,237240,post-grunge,11,1999
184,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,I Hope You Dance,Lee Ann Womack,01-01-2000,66,294533,country,1,2000
185,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,I Hope You Dance,Lee Ann Womack,01-01-2000,66,294533,country dawn,1,2000
