,genre,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
electronic_trap,electronic trap,10,electronic_trap,72.8,0.6650999999999999,0.7544,0.048661086,0.17145,0.13031,-4.8923000000000005,124.36960000000002,0.36035
cubaton,cubaton,1,cubaton,70.0,0.723,0.777,3.68e-06,0.0451,0.108,-3.503,91.017,0.961
electro_latino,electro latino,1,electro_latino,70.0,0.723,0.777,3.68e-06,0.0451,0.108,-3.503,91.017,0.961
french_indie_pop,french indie pop,1,french_indie_pop,68.0,0.76,0.886,7.43e-06,0.623,0.0258,-5.356,123.002,0.78
french_rock,french rock,1,french_rock,68.0,0.76,0.886,7.43e-06,0.623,0.0258,-5.356,123.002,0.78
future_house,future house,1,future_house,68.0,0.609,0.885,1.15e-05,0.336,0.0642,-5.469,124.959,0.76
pop_house,pop house,2,pop_house,71.0,0.643,0.8145,8.575000000000001e-05,0.20500000000000002,0.046849999999999996,-6.1375,124.5195,0.6955
australian_indie,australian indie,2,australian_indie,69.0,0.5745,0.6685000000000001,0.00076,0.1335,0.07035,-5.8715,128.543,0.3765
australian_psych,australian psych,1,australian_psych,86.0,0.64,0.74,0.00678,0.167,0.0284,-4.083,116.879,0.785
neo-psychedelic,neo-psychedelic,1,neo-psychedelic,86.0,0.64,0.74,0.00678,0.167,0.0284,-4.083,116.879,0.785
kentucky_hip_hop,kentucky hip hop,4,kentucky_hip_hop,82.5,0.6990000000000001,0.45899999999999996,0.0,0.0938,0.16055,-7.27625,126.04425,0.3865
icelandic_indie,icelandic indie,1,icelandic_indie,85.0,0.489,0.505,0.000333,0.104,0.117,-8.022,163.255,0.337
icelandic_rock,icelandic rock,1,icelandic_rock,85.0,0.489,0.505,0.000333,0.104,0.117,-8.022,163.255,0.337
virgin_islands_reggae,virgin islands reggae,1,virgin_islands_reggae,80.0,0.509,0.671,0.0,0.0452,0.0678,-5.709,118.413,0.55
irish_singer-songwriter,irish singer-songwriter,1,irish_singer-songwriter,80.0,0.566,0.664,0.0,0.116,0.0464,-5.303,128.945,0.437
san_diego_rap,san diego rap,2,san_diego_rap,77.0,0.886,0.427,0.00099,0.0906,0.145,-10.028,108.034,0.23
viral_trap,viral trap,5,viral_trap,73.0,0.751,0.6462000000000001,0.000396336,0.17836000000000002,0.16366,-6.1129999999999995,125.72999999999999,0.3578
melodic_rap,melodic rap,51,melodic_rap,78.47058823529412,0.7235098039215685,0.6100196078431372,0.00038297529411764704,0.15532941176470588,0.12415294117647058,-6.118921568627451,121.28445098039215,0.4370588235294117
mississippi_hip_hop,mississippi hip hop,3,mississippi_hip_hop,75.33333333333333,0.7886666666666667,0.47733333333333333,4.533333333333333e-06,0.10683333333333334,0.09399999999999999,-7.761666666666668,136.976,0.25333333333333335
