,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,artists_popularity,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists_popularity_highest,genre_list
1597,2mCF8L0brIs88eH6Kf2h9p,Fast Car,70.0,2020-06-20T06:19:41Z,2015,Fast Car,2015-12-04,"pop,pop dance,tropical house,uk dance","Jonas Blue,Dakota","3840344,11381",212424.0,0.644,0.57,-6.994,0.052,0.484,0.0,0.299,0.527,113.945,3840344,"['pop', 'pop dance', 'tropical house', 'uk dance']"
1598,2tpfxAXiI52znho4WE3XFA,Talking Body,69.0,2020-06-20T06:19:41Z,2015,Talking Body,2014-09-24,"dance pop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",Tove Lo,3534778,238426.0,0.736,0.761,-5.449,0.0338,0.0966,0.0,0.0823,0.114,119.999,3534778,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
1599,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,69.0,2020-06-20T06:19:41Z,2015,Sunset Lover,2015,new french touch,Petit Biscuit,949708,237792.0,0.783,0.467,-9.474,0.0503,0.729,0.809,0.109,0.236,90.838,949708,['new french touch']
1600,7MXVkk9YMctZqd1Srtv4MB,Starboy,93.0,2020-06-08T10:16:10Z,2016,Starboy,2016-11-25,"canadian contemporary r&b,canadian pop,pop,electro,filter house,rock","The Weeknd,Daft Punk","75134017,9729181",230453.0,0.679,0.587,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003,75134017,"['canadian contemporary r&b', 'canadian pop', 'pop', 'electro', 'filter house', 'rock']"
1601,1zi7xx7UVEFkmKfv06H8x0,One Dance,89.0,2020-06-08T10:16:10Z,2016,One Dance,2016-05-06,"canadian hip hop,canadian pop,hip hop,pop rap,rap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,uk funky","Drake,Wizkid,Kyla","82606361,4554393,16044",173986.0,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,82606361,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop', 'uk funky']"
1602,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,86.0,2020-06-08T10:16:10Z,2016,Love Yourself,2015-11-13,"canadian pop,pop",Justin Bieber,74855447,233720.0,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,74855447,"['canadian pop', 'pop']"
1603,7BKLCZ1jbUBVqRi2FVlTVw,Closer,86.0,2020-06-08T10:16:10Z,2016,Closer,2016-07-29,"pop,electropop,etherpop,indie poptimism,pop","The Chainsmokers,Halsey","20506342,21213740",244960.0,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,21213740,"['pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']"
1604,62PaSfnXSMyLshYJrlTuL3,Hello,76.0,2020-06-08T10:16:10Z,2016,Hello,2015-11-20,"british soul,pop,pop soul,uk pop",Adele,52846146,295502.0,0.578,0.43,-6.134,0.0305,0.33,0.0,0.0854,0.288,78.991,52846146,"['british soul', 'pop', 'pop soul', 'uk pop']"
1605,5YEOzOojehCqxGQCcQiyR4,Panda,71.0,2020-06-08T10:16:10Z,2016,Panda,2016-06-26,"pop rap,rap,southern hip hop,trap,viral trap",Desiigner,3541736,246761.0,0.576,0.766,-4.943,0.449,0.028,1.68e-06,0.366,0.236,144.833,3541736,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
1606,3xKsf9qdS1CyvXSMEid6g8,Pink + White,91.0,2020-06-08T10:16:10Z,2016,Pink + White,2016-08-20,"lgbtq+ hip hop,neo soul",Frank Ocean,12297485,184516.0,0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,0.549,159.94,12297485,"['lgbtq+ hip hop', 'neo soul']"
