,artist,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
Ying_Yang_Twins,Ying Yang Twins,3,Ying_Yang_Twins,61.333333333333336,0.8190000000000001,0.61,0.0008266666666666666,0.0947,0.297,-8.385333333333334,111.11733333333332,0.5086666666666667
Lil_Jon_&_The_East_Side_Boyz,Lil Jon & The East Side Boyz,2,Lil_Jon_&_The_East_Side_Boyz,66.5,0.7795000000000001,0.599,0.0,0.2615,0.174,-6.1025,120.913,0.42700000000000005
LMC,LMC,1,LMC,62.0,0.668,0.905,0.0331,0.141,0.038,-5.395,128.658,0.667
The_Streets,The Streets,2,The_Streets,58.5,0.682,0.6555,0.0,0.06235,0.269,-4.779,126.1605,0.67
George_Michael,George Michael,1,George_Michael,62.0,0.805,0.754,1.77e-06,0.117,0.0394,-6.825,128.429,0.88
Tony!_Toni!_Toné!,Tony! Toni! Toné!,1,Tony!_Toni!_Toné!,62.0,0.663,0.465,0.00183,0.125,0.0317,-9.711,127.932,0.279
Jermaine_Paul,Jermaine Paul,1,Jermaine_Paul,62.0,0.663,0.465,0.00183,0.125,0.0317,-9.711,127.932,0.279
Special_D.,Special D.,1,Special_D.,61.0,0.739,0.999,0.00224,0.28,0.0803,-5.077,139.982,0.501
Lloyd_Banks,Lloyd Banks,1,Lloyd_Banks,61.0,0.759,0.825,0.00057,0.24,0.22,-4.289,94.857,0.429
Houston,Houston,1,Houston,60.0,0.797,0.502,0.0,0.1,0.0968,-3.925,106.997,0.385
J-Kwon,J-Kwon,1,J-Kwon,60.0,0.925,0.741,0.0,0.044,0.315,-5.827,93.04,0.654
Rise_Against,Rise Against,1,Rise_Against,59.0,0.477,0.426,0.0,0.0903,0.043,-6.961,184.866,0.789
Sia,Sia,8,Sia,71.25,0.513,0.726125,0.09369472875,0.1197625,0.10135,-5.23475,135.2885,0.4438875
Ashlee_Simpson,Ashlee Simpson,1,Ashlee_Simpson,57.0,0.532,0.807,0.0,0.114,0.057,-4.301,87.183,0.759
Kelis,Kelis,3,Kelis,56.333333333333336,0.8586666666666667,0.7856666666666667,0.17483540333333333,0.2932666666666667,0.0876,-4.601666666666667,108.31566666666667,0.7843333333333332
